iter	Passed	Remaining
0	100	100615
1	101	50640
2	102	33941
3	102	25556
4	103	20533
5	103	17170
6	104	14810
7	105	13022
8	105	11627
9	106	10509
10	106	9585
11	107	8820
12	107	8174
13	108	7619
14	108	7140
15	109	6719
16	110	6368
17	110	6046
18	111	5773
19	112	5503
20	112	5259
21	113	5037
22	113	4837
23	114	4652
24	114	4479
25	115	4332
26	116	4201
27	117	4064
28	117	3936
29	118	3817
30	118	3704
31	119	3620
32	120	3524
33	120	3434
34	121	3345
35	122	3277
36	122	3200
37	123	3128
38	124	3062
39	124	2993
40	125	2931
41	125	2872
42	126	2815
43	127	2760
44	128	2718
45	128	2672
46	129	2623
47	130	2578
48	130	2539
49	131	2499
50	132	2460
51	132	2419
52	133	2379
53	134	2349
54	134	2316
55	135	2281
56	136	2250
57	136	2219
58	137	2190
59	138	2162
60	138	2133
61	139	2104
62	140	2085
63	140	2061
64	141	2038
65	142	2012
66	143	1993
67	145	1992
68	146	1970
69	146	1948
70	147	1926
71	147	1905
72	148	1883
73	149	1866
74	149	1848
75	150	1828
76	151	1810
77	151	1793
78	152	1777
79	153	1761
80	153	1743
81	154	1726
82	154	1708
83	155	1694
84	155	1679
85	156	1663
86	157	1647
87	157	1633
88	158	1624
89	159	1612
90	160	1598
91	160	1585
92	161	1571
93	162	1564
94	163	1553
95	163	1540
96	164	1530
97	165	1520
98	165	1510
99	166	1497
100	167	1487
101	167	1475
102	168	1464
103	168	1455
104	169	1445
105	170	1435
106	171	1427
107	172	1424
108	173	1415
109	173	1404
110	174	1395
111	174	1386
112	175	1378
113	176	1369
114	176	1360
115	177	1355
116	178	1347
117	179	1339
118	179	1330
119	180	1322
120	180	1314
121	182	1315
122	184	1312
123	184	1304
124	185	1296
125	185	1289
126	186	1282
127	187	1275
128	187	1269
129	188	1261
130	188	1253
131	190	1250
132	190	1244
133	191	1237
134	192	1231
135	192	1224
136	193	1218
137	194	1212
138	194	1205
139	195	1198
140	195	1193
141	196	1188
142	197	1181
143	197	1175
144	198	1169
145	198	1163
146	199	1158
147	200	1153
148	200	1147
149	201	1141
150	202	1137
151	203	1133
152	203	1127
153	204	1121
154	204	1116
155	205	1111
156	206	1108
157	207	1104
158	207	1098
159	208	1096
160	209	1090
161	209	1085
162	210	1081
163	211	1076
164	211	1072
165	212	1068
166	213	1063
167	213	1059
168	214	1054
169	215	1052
170	216	1048
171	216	1043
172	217	1039
173	218	1035
174	218	1030
175	219	1026
176	219	1022
177	220	1018
178	222	1019
179	222	1015
180	223	1011
181	224	1006
182	224	1002
183	225	998
184	225	994
185	226	993
186	227	991
187	228	987
188	229	983
189	229	979
190	230	975
191	231	972
192	231	968
193	232	964
194	232	960
195	233	959
196	234	955
197	235	952
198	235	948
199	236	947
200	237	945
201	238	942
202	239	939
203	240	938
204	241	935
205	241	932
206	242	929
207	243	925
208	243	922
209	244	918
210	244	915
211	245	913
212	246	910
213	247	907
214	247	904
215	248	901
216	248	897
217	249	894
218	250	893
219	251	890
220	252	888
221	252	885
222	253	882
223	253	879
224	254	876
225	255	873
226	255	870
227	256	867
228	256	864
229	257	861
230	258	861
231	260	861
232	261	860
233	262	858
234	263	856
235	263	853
236	264	849
237	265	849
238	266	847
239	266	845
240	267	842
241	267	839
242	268	836
243	269	833
244	269	831
245	270	828
246	271	826
247	272	825
248	272	822
249	273	820
250	274	817
251	274	816
252	275	813
253	276	811
254	276	808
255	277	806
256	278	805
257	279	802
258	279	799
259	280	797
260	280	795
261	281	792
262	281	790
263	282	787
264	283	785
265	283	782
266	285	783
267	286	782
268	287	780
269	287	778
270	289	779
271	290	777
272	291	775
273	291	772
274	294	776
275	295	775
276	296	774
277	297	771
278	297	769
279	298	766
280	298	764
281	299	762
282	299	759
283	300	757
284	302	758
285	302	755
286	303	753
287	303	751
288	304	750
289	305	748
290	306	745
291	306	743
292	307	741
293	308	741
294	309	739
295	310	737
296	310	735
297	311	732
298	311	730
299	312	728
300	312	726
301	313	724
302	314	724
303	316	724
304	317	722
305	317	720
306	318	718
307	318	716
308	319	713
309	319	711
310	320	709
311	321	709
312	322	707
313	323	705
314	323	703
315	324	701
316	324	699
317	325	697
318	325	695
319	326	694
320	328	694
321	328	692
322	329	690
323	330	688
324	330	686
325	331	684
326	331	682
327	332	680
328	332	678
329	333	677
330	334	675
331	334	673
332	335	671
333	335	669
334	336	667
335	336	665
336	337	663
337	337	661
338	338	660
339	340	660
340	341	659
341	342	658
342	342	656
343	343	654
344	343	652
345	344	651
346	346	651
347	347	650
348	347	648
349	348	647
350	348	645
351	349	643
352	350	641
353	350	639
354	351	637
355	351	636
356	352	634
357	352	632
358	353	631
359	354	629
360	354	627
361	355	626
362	356	625
363	357	623
364	357	622
365	358	621
366	359	620
367	360	619
368	361	617
369	361	615
370	362	614
371	362	612
372	363	610
373	364	610
374	365	609
375	366	608
376	366	606
377	367	604
378	368	603
379	368	601
380	369	599
381	369	598
382	370	596
383	371	596
384	372	594
385	372	593
386	373	591
387	375	591
388	375	590
389	377	590
390	378	589
391	379	588
392	380	587
393	380	585
394	381	584
395	381	582
396	382	580
397	382	579
398	384	578
399	384	577
400	385	575
401	385	574
402	386	572
403	386	570
404	388	570
405	389	569
406	390	568
407	390	567
408	391	565
409	392	564
410	393	563
411	393	562
412	394	561
413	395	559
414	396	558
415	397	557
416	398	556
417	399	555
418	399	554
419	400	552
420	402	553
421	403	552
422	404	551
423	406	552
424	407	551
425	412	555
426	413	554
427	413	553
428	415	553
429	416	552
430	417	551
431	419	551
432	419	549
433	420	548
434	421	546
435	422	546
436	422	544
437	423	543
438	424	542
439	424	540
440	425	539
441	426	537
442	426	536
443	427	535
444	428	534
445	429	532
446	429	531
447	430	529
448	430	528
449	431	527
450	432	526
451	432	524
452	433	523
453	433	521
454	434	520
455	435	519
456	435	518
457	436	516
458	437	515
459	437	514
460	438	512
461	438	511
462	439	509
463	440	508
464	441	507
465	442	506
466	443	505
467	443	504
468	444	502
469	444	501
470	445	500
471	446	499
472	446	497
473	447	496
474	448	495
475	449	494
476	449	493
477	450	491
478	450	490
479	451	488
480	451	487
481	452	486
482	453	485
483	454	484
484	455	483
485	456	482
486	457	481
487	457	480
488	458	478
489	459	478
490	460	476
491	460	475
492	461	474
493	463	474
494	463	473
495	464	471
496	465	470
497	466	470
498	467	468
499	467	467
500	469	467
501	469	466
502	470	465
503	473	465
504	473	464
505	474	463
506	475	461
507	475	460
508	476	459
509	477	458
510	478	457
511	479	456
512	479	455
513	480	454
514	481	453
515	482	452
516	483	451
517	483	450
518	484	449
519	485	448
520	486	447
521	487	446
522	487	445
523	488	444
524	491	444
525	492	443
526	493	442
527	493	441
528	495	440
529	497	441
530	498	440
531	499	439
532	500	438
533	501	437
534	502	436
535	503	435
536	504	434
537	504	433
538	505	432
539	506	431
540	508	431
541	509	430
542	509	428
543	510	427
544	510	426
545	511	425
546	512	424
547	512	422
548	513	422
549	515	421
550	515	420
551	516	419
552	517	418
553	519	417
554	519	416
555	520	416
556	521	415
557	522	413
558	523	412
559	524	411
560	524	410
561	525	409
562	526	408
563	527	408
564	528	406
565	529	405
566	530	404
567	531	403
568	532	403
569	533	402
570	535	401
571	535	400
572	536	399
573	537	398
574	537	397
575	538	396
576	539	395
577	540	394
578	541	393
579	541	392
580	542	391
581	543	390
582	543	388
583	544	387
584	544	386
585	546	386
586	548	385
587	548	384
588	549	383
589	550	382
590	550	381
591	551	380
592	554	380
593	555	379
594	555	378
595	556	377
596	557	376
597	557	374
598	558	374
599	559	373
600	560	372
601	561	371
602	561	369
603	562	368
604	562	367
605	563	366
606	564	365
607	565	364
608	566	363
609	567	362
610	568	361
611	569	360
612	569	359
613	570	358
614	571	357
615	572	356
616	573	355
617	573	354
618	574	353
619	574	352
620	575	351
621	575	349
622	576	348
623	576	347
624	579	347
625	579	346
626	580	345
627	581	344
628	581	343
629	582	342
630	586	343
631	587	341
632	587	340
633	588	339
634	588	338
635	589	337
636	590	336
637	591	335
638	592	334
639	592	333
640	593	332
641	593	331
642	594	330
643	595	328
644	595	327
645	596	326
646	597	326
647	598	325
648	598	323
649	599	322
650	600	321
651	600	320
652	600	319
653	601	318
654	602	317
655	603	316
656	603	315
657	604	314
658	604	312
659	605	311
660	605	310
661	606	309
662	606	308
663	607	307
664	607	306
665	608	305
666	608	303
667	609	303
668	610	302
669	611	301
670	612	300
671	612	298
672	613	297
673	613	296
674	614	295
675	614	294
676	615	293
677	616	292
678	617	291
679	617	290
680	618	289
681	618	288
682	619	287
683	619	286
684	620	285
685	620	284
686	621	283
687	622	282
688	622	281
689	623	279
690	623	278
691	624	277
692	624	276
693	625	275
694	625	274
695	626	273
696	627	272
697	628	271
698	629	270
699	629	269
700	630	268
701	630	267
702	631	266
703	631	265
704	632	264
705	632	263
706	633	262
707	634	261
708	635	261
709	636	259
710	636	258
711	637	257
712	638	256
713	638	255
714	639	254
715	640	254
716	641	253
717	641	252
718	642	251
719	642	250
720	643	249
721	644	247
722	644	246
723	645	245
724	645	245
725	646	244
726	647	243
727	647	242
728	648	240
729	648	239
730	649	239
731	650	237
732	650	236
733	651	236
734	651	235
735	652	234
736	653	233
737	654	232
738	654	231
739	655	230
740	655	229
741	656	228
742	657	227
743	657	226
744	658	225
745	659	224
746	660	223
747	661	222
748	661	221
749	662	220
750	663	220
751	664	219
752	665	218
753	665	217
754	666	216
755	667	215
756	668	214
757	669	213
758	669	212
759	670	211
760	671	210
761	671	209
762	672	208
763	672	207
764	673	206
765	674	205
766	674	204
767	675	204
768	675	203
769	676	202
770	677	201
771	678	200
772	678	199
773	679	198
774	680	197
775	681	196
776	681	195
777	682	194
778	682	193
779	684	193
780	684	192
781	685	191
782	686	190
783	686	189
784	687	188
785	688	187
786	688	186
787	690	185
788	691	184
789	691	183
790	692	182
791	692	181
792	693	181
793	694	180
794	694	179
795	695	178
796	696	177
797	697	176
798	697	175
799	698	174
800	699	173
801	700	173
802	702	172
803	703	171
804	704	170
805	705	169
806	705	168
807	706	167
808	707	166
809	708	166
810	709	165
811	709	164
812	710	163
813	711	162
814	712	161
815	712	160
816	713	159
817	713	158
818	714	157
819	715	157
820	716	156
821	717	155
822	718	154
823	718	153
824	719	152
825	719	151
826	720	150
827	722	150
828	723	149
829	725	148
830	726	147
831	728	147
832	729	146
833	729	145
834	730	144
835	731	143
836	731	142
837	732	141
838	733	140
839	734	139
840	734	138
841	735	138
842	736	137
843	737	136
844	737	135
845	738	134
846	739	133
847	740	132
848	741	131
849	741	130
850	742	129
851	742	129
852	743	128
853	744	127
854	744	126
855	745	125
856	746	124
857	747	123
858	747	122
859	748	121
860	749	121
861	750	120
862	751	119
863	751	118
864	752	117
865	753	116
866	754	115
867	754	114
868	755	113
869	756	113
870	757	112
871	757	111
872	758	110
873	758	109
874	759	108
875	760	107
876	761	106
877	762	105
878	762	105
879	763	104
880	764	103
881	764	102
882	765	101
883	766	100
884	767	99
885	767	98
886	768	97
887	769	97
888	769	96
889	770	95
890	771	94
891	772	93
892	773	92
893	773	91
894	774	90
895	775	90
896	776	89
897	776	88
898	777	87
899	778	86
900	779	85
901	779	84
902	780	83
903	781	82
904	782	82
905	782	81
906	783	80
907	784	79
908	785	78
909	786	77
910	787	76
911	788	76
912	790	75
913	790	74
914	791	73
915	792	72
916	793	71
917	794	70
918	794	70
919	795	69
920	796	68
921	796	67
922	797	66
923	798	65
924	798	64
925	799	63
926	800	63
927	801	62
928	801	61
929	802	60
930	803	59
931	803	58
932	804	57
933	805	56
934	806	56
935	807	55
936	807	54
937	808	53
938	809	52
939	810	51
940	810	50
941	811	49
942	812	49
943	812	48
944	813	47
945	814	46
946	815	45
947	815	44
948	816	43
949	817	43
950	817	42
951	818	41
952	819	40
953	820	39
954	821	38
955	822	37
956	823	36
957	823	36
958	824	35
959	825	34
960	825	33
961	826	32
962	827	31
963	827	30
964	828	30
965	829	29
966	830	28
967	830	27
968	831	26
969	832	25
970	832	24
971	833	24
972	834	23
973	835	22
974	836	21
975	836	20
976	837	19
977	838	18
978	839	17
979	839	17
980	840	16
981	841	15
982	842	14
983	843	13
984	843	12
985	844	11
986	844	11
987	845	10
988	846	9
989	847	8
990	848	7
991	848	6
992	849	5
993	850	5
994	850	4
995	851	3
996	851	2
997	852	1
998	853	0
999	854	0
